tile_id,r,c,filename,x,y,w,h
0,0,0,tile_r00_c00_id00.png,0,0,500,500
1,0,1,tile_r00_c01_id01.png,500,0,500,500
2,0,2,tile_r00_c02_id02.png,1000,0,500,500
3,0,3,tile_r00_c03_id03.png,1500,0,500,500
4,0,4,tile_r00_c04_id04.png,2000,0,500,500
5,0,5,tile_r00_c05_id05.png,2500,0,500,500
6,1,0,tile_r01_c00_id06.png,0,500,500,500
7,1,1,tile_r01_c01_id07.png,500,500,500,500
8,1,2,tile_r01_c02_id08.png,1000,500,500,500
9,1,3,tile_r01_c03_id09.png,1500,500,500,500
10,1,4,tile_r01_c04_id10.png,2000,500,500,500
11,1,5,tile_r01_c05_id11.png,2500,500,500,500
12,2,0,tile_r02_c00_id12.png,0,1000,500,500
13,2,1,tile_r02_c01_id13.png,500,1000,500,500
14,2,2,tile_r02_c02_id14.png,1000,1000,500,500
15,2,3,tile_r02_c03_id15.png,1500,1000,500,500
16,2,4,tile_r02_c04_id16.png,2000,1000,500,500
17,2,5,tile_r02_c05_id17.png,2500,1000,500,500
18,3,0,tile_r03_c00_id18.png,0,1500,500,500
19,3,1,tile_r03_c01_id19.png,500,1500,500,500
20,3,2,tile_r03_c02_id20.png,1000,1500,500,500
21,3,3,tile_r03_c03_id21.png,1500,1500,500,500
22,3,4,tile_r03_c04_id22.png,2000,1500,500,500
23,3,5,tile_r03_c05_id23.png,2500,1500,500,500
24,4,0,tile_r04_c00_id24.png,0,2000,500,500
25,4,1,tile_r04_c01_id25.png,500,2000,500,500
26,4,2,tile_r04_c02_id26.png,1000,2000,500,500
27,4,3,tile_r04_c03_id27.png,1500,2000,500,500
28,4,4,tile_r04_c04_id28.png,2000,2000,500,500
29,4,5,tile_r04_c05_id29.png,2500,2000,500,500
30,5,0,tile_r05_c00_id30.png,0,2500,500,500
31,5,1,tile_r05_c01_id31.png,500,2500,500,500
32,5,2,tile_r05_c02_id32.png,1000,2500,500,500
33,5,3,tile_r05_c03_id33.png,1500,2500,500,500
34,5,4,tile_r05_c04_id34.png,2000,2500,500,500
35,5,5,tile_r05_c05_id35.png,2500,2500,500,500
